Income,Tax,Effective Rate,Marginal Rate
47100,9858.168,0.20930293,0.33249998
47200,9891.418,0.20956394,0.33249998
47300,9924.668,0.20982385,0.33249998
47400,9957.918,0.21008265,0.33249998
47500,9991.168,0.21034038,0.33249998
47600,10024.418,0.21059702,0.33249998
47700,10057.668,0.21085258,0.33249998
47800,10090.918,0.21110708,0.33249998
47900,10124.168,0.2113605,0.33249998
48000,10157.418,0.21161288,0.33249998
48100,10190.668,0.2118642,0.33249998
48200,10223.918,0.21211448,0.33249998
48300,10257.168,0.21236372,0.33249998
48400,10290.418,0.21261194,0.33249998
48500,10323.668,0.21285914,0.33249998
48600,10356.918,0.2131053,0.33249998
48700,10390.168,0.21335047,0.33249998
48800,10423.418,0.21359463,0.33249998
48900,10456.668,0.21383779,0.33249998
49000,10489.918,0.21407996,0.33249998
49100,10523.168,0.21432114,0.33249998
49200,10556.418,0.21456134,0.33249998
49300,10589.668,0.21480057,0.33249998
49400,10622.918,0.21503882,0.33249998
49500,10656.168,0.21527612,0.33249998
49600,10689.418,0.21551245,0.33249998
49700,10722.668,0.21574785,0.33249998
49800,10755.918,0.21598229,0.33249998
49900,10789.168,0.21621579,0.33249998
50000,10822.418,0.21644837,0.33249998
50100,10855.668,0.21668,0.33249998
50200,10888.918,0.21691072,0.33249998
50300,10922.168,0.21714051,0.33249998
50400,10955.418,0.2173694,0.33249998
50500,10988.668,0.21759738,0.33249998
50600,11021.918,0.21782446,0.33249998
50700,11055.168,0.21805064,0.33249998
50800,11088.418,0.21827595,0.33249998
50900,11121.668,0.21850035,0.33249998
51000,11154.918,0.21872388,0.33249998
51100,11188.168,0.21894653,0.33249998
51200,11221.418,0.21916832,0.33249998
51300,11254.668,0.21938924,0.33249998
51400,11287.918,0.2196093,0.33249998
51500,11321.168,0.2198285,0.33249998
51600,11354.418,0.22004686,0.33249998
51700,11387.668,0.22026438,0.33249998
51800,11420.918,0.22048104,0.33249998
51900,11454.168,0.22069688,0.33249998
52000,11487.418,0.22091189,0.33249998
52100,11520.668,0.22112606,0.33249998
52200,11553.918,0.22133942,0.33249998
52300,11587.168,0.22155197,0.33249998
52400,11620.418,0.2217637,0.33249998
52500,11653.668,0.22197463,0.33249998
52600,11686.918,0.22218475,0.33249998
52700,11720.168,0.22239408,0.33249998
52800,11753.418,0.2226026,0.33249998
52900,11786.668,0.22281036,0.33249998
53000,11819.918,0.22301732,0.33249998
53100,11853.168,0.2232235,0.33249998
53200,11886.418,0.2234289,0.33249998
53300,11919.668,0.22363354,0.33249998
53400,11952.918,0.22383742,0.33249998
53500,11986.168,0.22404052,0.33249998
53600,12019.418,0.22424287,0.33249998
53700,12052.668,0.22444446,0.33249998
53800,12085.918,0.22464532,0.33249998
53900,12119.168,0.22484542,0.33249998
54000,12152.418,0.22504477,0.33249998
54100,12185.668,0.2252434,0.33249998
54200,12218.918,0.22544129,0.33249998
54300,12252.168,0.22563845,0.33249998
54400,12285.418,0.22583489,0.33249998
54500,12318.668,0.2260306,0.33249998
54600,12351.918,0.2262256,0.33249998
54700,12385.168,0.2264199,0.33249998
54800,12418.418,0.22661346,0.33249998
54900,12451.668,0.22680634,0.33249998
55000,12484.918,0.22699851,0.33249998
55100,12518.168,0.22718999,0.33249998
55200,12551.418,0.22738077,0.33249998
55300,12584.668,0.22757085,0.33249998
55400,12617.918,0.22776026,0.33249998
55500,12651.168,0.22794898,0.33249998
55600,12684.418,0.22813702,0.33249998
55700,12717.668,0.22832438,0.33249998
55800,12750.918,0.22851108,0.33249998
55900,12784.168,0.2286971,0.33249998
56000,12817.418,0.22888246,0.33249998
56100,12850.668,0.22906716,0.33249998
56200,12883.918,0.2292512,0.33249998
56300,12917.168,0.2294346,0.33249998
